,scores
0,-961.1639902478112
1,-1353.3819833587552
2,-1454.4683322044734
3,-1351.5924338700165
4,-1333.0909551600287
5,-1418.5064613870568
6,-1446.2114977635617
7,-1466.7064869370226
8,-1301.4685329478766
9,-1460.3400929335119
10,-1124.5445786660898
11,-903.8801310636586
12,-1083.4157427621965
13,-1433.5157203744795
14,-1290.7559214349321
15,-1523.3853044426655
16,-1448.001876046269
17,-1503.8735720607526
18,-1448.0830872761476
19,-1363.584602176648
20,-1402.3807219088767
21,-1409.1930193709256
22,-1237.34572408039
23,-1483.877945152075
24,-1026.7534890967966
25,-1475.4903921849602
26,-1355.1235778306814
27,-1348.9701790941936
28,-1409.612644697769
29,-1349.3537927732557
30,-1004.2026231282471
31,-1376.2190253055396
32,-1406.630771809185
33,-1411.5528846612378
34,-1336.382898318193
35,-1422.851379231689
36,-1546.0908505908872
37,-1044.4859028240264
38,-1534.4211247055418
39,-1488.1682286099804
40,-1393.4536632252439
41,-1518.8207524456263
42,-1516.2221214325418
43,-1447.9021083313323
44,-1391.6880999566451
45,-1522.2908433685918
46,-1144.8671533333375
47,-1471.6591916099496
48,-1542.5536004147284
49,-937.4015116114703
50,-1482.031279290072
51,-1512.1155701321306
52,-1424.1159419335042
53,-1424.7302301624845
54,-1542.178177043214
55,-1465.2164550516477
56,-1428.121201279138
57,-1473.3730069049375
58,-1523.6907645754125
59,-1452.9015695002433
60,-1376.7209359912667
61,-1368.8750960193402
62,-1407.661665962612
63,-1343.7819887666392
64,-1356.1258868619059
65,-963.7063134759447
66,-1509.624454529663
67,-1479.9559798343796
68,-1472.6139474328186
69,-1383.6847236750707
70,-1416.035314296282
71,-1468.5946211454961
72,-1388.9603534609905
73,-1498.6979295501499
74,-1419.9440008330353
75,-1482.8850784516537
76,-1448.6355648445856
77,-1443.1323672616634
78,-1256.492821102486
79,-1447.478602339037
80,-1441.6674184621302
81,-1300.5326888439906
82,-1413.097459720916
83,-1090.0316658087627
84,-1371.205704478561
85,-1334.1457463399122
86,-1447.0199588044459
87,-1421.3386991730706
88,-1436.9503999586655
89,-1306.982273119962
90,-1326.7895733245207
91,-1393.2385886990878
92,-1206.0685096621082
93,-1393.5621426013515
94,-1495.4963865270956
95,-1248.7939295259855
96,-1355.0626387313007
97,-1465.1852026380104
98,-1441.7195721708865
99,-1478.6226849308782
100,-1247.8427252554766
101,-1400.7408649277545
102,-1169.083498515358
103,-1318.0864715758296
104,-1509.9143860727997
105,-1375.0130929925429
106,-1262.5146810385952
107,-1382.5375111060312
108,-1504.4813082253243
109,-1373.7731336801014
110,-1221.702503125485
111,-1351.4752045277892
112,-1358.709453434189
113,-1352.9029707163054
114,-1306.1852066522988
115,-1350.7666063549343
116,-1208.7599042736347
117,-1057.1795486131994
118,-1416.3603330266255
119,-1316.3099288863673
120,-1171.8840017183327
121,-1358.7174948576555
122,-1300.032833967517
123,-1314.7541606894997
124,-1248.717018704134
125,-1329.116423030605
126,-1344.9206234038543
127,-1196.4959963846734
128,-1366.8637690257553
129,-1208.3096404990476
130,-1410.8647120007806
131,-1316.1187492580634
132,-1049.2619693652337
133,-1389.2516685328933
134,-1333.5895450902276
135,-1402.2749000161111
136,-1361.803924957299
137,-1351.9507756630464
138,-1272.6492260495236
139,-1310.3464334703053
140,-1360.332816336517
141,-1324.8854817016609
142,-1036.9208766396216
143,-1261.178348551084
144,-1299.2036961023928
145,-1259.2417957383398
146,-1135.9064271224013
147,-1311.12538343194
148,-1367.1249480589702
149,-1216.748298607072
150,-1300.448678433872
151,-1340.5365620490347
152,-1358.5541530413873
153,-1316.6426145400221
154,-1378.3545955551024
155,-1368.761460131342
156,-1279.7588201280569
157,-1314.0438783112056
158,-1194.460223760173
159,-1379.5079783722465
160,-1341.7365546175133
161,-1293.3110464307165
162,-1242.276680605573
163,-1019.7214367422002
164,-1072.2366126489462
165,-1234.44202753094
166,-1292.3020104988018
167,-1223.594654625243
168,-1287.120201401658
169,-908.0105751102983
170,-1313.1653486176401
171,-1023.4542939779839
172,-1234.0291685478483
173,-1234.0577286981288
174,-993.3066726876368
175,-1001.4786161640864
176,-1212.314551037217
177,-1166.420650154241
178,-1373.5082383489855
179,-1106.324807724276
180,-1064.783031381811
181,-1110.1152236496334
182,-1132.701387773285
183,-1210.8194169053752
184,-1146.0178399446725
185,-1040.4744771366525
186,-1208.3710519333479
187,-1157.383757330059
188,-1194.048864707149
189,-1061.0998586246365
190,-1175.1396109797527
191,-1259.2136452002385
192,-1011.6938766091707
193,-1217.0148740418872
194,-1195.8593056769569
195,-1323.0825566026715
196,-1210.4861204406573
197,-1190.1578129725879
198,-893.5551023629763
199,-1180.5267019365156
200,-812.175157084106
201,-861.2423635484027
202,-904.8622473205822
203,-838.1984918804851
204,-1158.8432204561464
205,-1005.9076426360391
206,-1060.9902968841616
207,-1249.388108005528
208,-1070.1021510762007
209,-945.3617689460402
210,-1117.5187736683297
211,-1092.2841590272233
212,-1138.4026143667254
213,-1207.5523683385854
214,-1328.711257227694
215,-941.391660402289
216,-1042.789181752269
217,-921.0747410054324
218,-1232.2143164863662
219,-1175.1710505596259
220,-976.3940473168659
221,-904.8540181638746
222,-1095.5892296864802
223,-765.1854508094615
224,-1054.1500345385773
225,-927.5771994900847
226,-706.1463303405613
227,-959.2094481118921
228,-897.0363381109605
229,-789.1434872291312
230,-516.4292049457683
231,-1017.0445720627329
232,-998.7579112873239
233,-784.9756139180223
234,-1062.1687636155666
235,-1132.8299012302919
236,-969.2567112648406
237,-1038.2088072991155
238,-823.1018770885502
239,-1194.8577287604703
240,-1253.4564434506694
241,-656.131761232231
242,-909.9477526433883
243,-717.6334642248006
244,-507.6349249776833
245,-619.089711241761
246,-749.9359351894
247,-636.3641044253218
248,-1025.3484091436303
249,-982.0865486848996
250,-768.4662063647366
251,-1089.8332473444336
252,-924.7759841795935
253,-1032.8950679053173
254,-913.7455598126828
255,-901.8801120835002
256,-1046.2325984115298
257,-787.8891324293246
258,-977.819003315574
259,-812.5077910027054
260,-381.6546749007206
261,-384.6391577200837
262,-887.2247288836991
263,-930.6955204938654
264,-382.6393096543324
265,-512.3776920703529
266,-461.1096782913462
267,-384.3898441365785
268,-509.2697081983373
269,-1179.5849763776541
270,-518.1589227758267
271,-1034.7590067421372
272,-761.72458308136
273,-757.214321007734
274,-901.5305811699455
275,-632.5731570984374
276,-998.3586497591843
277,-598.3077019721286
278,-128.8638465823203
279,-639.4038751264025
280,-3.140531091337682
281,-130.04645660494995
282,-636.7460891871415
283,-128.08272072173605
284,-381.06333989121043
285,-1.1166372193552765
286,-654.7461810741199
287,-386.81213229463486
288,-254.05071411478883
289,-811.5204919415864
290,-3.0776256217830267
291,-132.19502628126313
292,-786.8195025458875
293,-252.53212817880137
294,-659.5645271367916
295,-512.5963399072349
296,-808.3947428383467
297,-829.8784819106855
298,-1.2609848000238573
299,-135.4468870986865
300,-543.3385688897782
301,-2.214815580410128
302,-382.58258436109793
303,-507.23154641613166
304,-129.86678213652334
305,-382.57372140498893
306,-639.563203211815
307,-126.57583412782704
308,-3.8466065640779097
309,-389.2042431423489
310,-130.20443514758662
311,-129.2552914217934
312,-646.1599787858097
313,-654.8437525339208
314,-942.0984631241126
315,-778.4339903256664
316,-252.89661772823786
317,-515.7674250103394
318,-256.54232983013827
319,-773.1693260248219
320,-577.0661992936259
321,-1.2571187341786754
322,-132.6199171155852
323,-522.192546954083
324,-257.6288817415137
325,-126.4920164322623
326,-131.06650190399787
327,-262.13187532857717
328,-386.62859110744546
329,-397.77360938071746
330,-132.33612362472988
331,-665.4346013786311
332,-130.7339527046443
333,-570.1917959424524
334,-125.19565134025069
335,-521.634221592957
336,-256.671067774564
337,-127.54145597948138
338,-125.68589569208183
339,-256.77897911082357
340,-382.6684197030782
341,-262.43674021570513
342,-132.4895491549928
343,-130.30692190872404
344,-254.67300273088932
345,-259.5830555156983
346,-903.821264867288
347,-395.8135269849695
348,-549.2449274211232
349,-126.34692305858623
350,-258.8940585593108
351,-388.6523168610581
352,-2.380532208080585
353,-252.58612278277698
354,-647.5544954740276
355,-387.0837097384695
356,-664.2338984754533
357,-904.3932462800893
358,-127.27286038607967
359,-605.162798095955
360,-383.1984681423577
361,-131.86523941802463
362,-125.34224301422505
363,-129.64755709584242
364,-127.92952846522263
365,-129.8492447726043
366,-1.0331273714019849
367,-534.7303663656186
368,-254.46388405453087
369,-253.68784924742414
370,-129.86724909118232
371,-386.2751695045812
372,-397.8981156470935
373,-124.76759592615986
374,-129.47744608397645
375,-132.67125780468083
376,-261.13380983442505
377,-397.5042317161564
378,-535.771524642873
379,-521.1245637314075
380,-128.78406829611262
381,-402.2272002541996
382,-529.7628502619245
383,-3.435086264187198
384,-126.4460320401505
385,-133.08877099470766
386,-128.24522378617036
387,-384.1065492605777
388,-414.2490067556964
389,-127.1809500027959
390,-377.5115344013964
391,-380.0511902970411
392,-128.70069850076888
393,-126.42132674172456
394,-481.59087465633655
395,-127.55876595462858
396,-667.6178746941127
397,-255.78109350396224
398,-649.4612628782972
399,-679.0940220161809
400,-128.34842734122896
401,-131.69037985653253
402,-258.70751200476434
403,-129.57366202267758
404,-598.1763711773791
405,-409.303917978918
406,-1.5787832574089404
407,-1.7492793789856285
408,-128.83103851451872
409,-127.9890938585546
410,-396.95380733485354
411,-518.1807966746472
412,-532.0585903744736
413,-128.20881137443882
414,-538.8269625726007
415,-128.67202665012405
416,-625.4341167120092
417,-125.66875063808148
418,-386.1962849908515
419,-256.6290243362093
420,-127.25534401079213
421,-413.9484094196831
422,-124.9193961259648
423,-447.5264930862716
424,-396.75339474386146
425,-124.7732755611703
426,-391.10699384128316
427,-253.55277598834175
428,-255.93997113162723
429,-254.76815856756048
430,-265.370462655734
431,-0.8392971604795538
432,-389.8607981421621
433,-507.76470830555047
434,-394.52777096457817
435,-260.80956440463973
436,-525.378046526705
437,-416.32609511682494
438,-131.06128222991916
439,-256.9734105079338
440,-388.8328192443104
441,-470.90579150626894
442,-131.68827304616354
443,-391.7515222106557
444,-269.4501208470842
445,-135.1236038339579
446,-131.43676943506415
447,-270.3007148531956
448,-256.5385944698407
449,-131.817054901401
450,-127.39919105324654
451,-267.24945309452266
452,-794.9428833197474
453,-2.4531432168918177
454,-262.3127226597745
455,-519.5192574701668
456,-133.0408845285162
457,-270.7324855040337
458,-127.28962411092996
459,-130.08719761139784
460,-258.0804377643402
461,-265.56368097676517
462,-132.06166316243105
463,-369.00185097369376
464,-130.2073814635168
465,-259.1871536423328
466,-392.95969811724314
467,-130.6918469129883
468,-132.95510962830517
469,-660.4704607493949
470,-250.62997689743875
471,-523.8781321109783
472,-256.72149044446525
473,-2.50721030631704
474,-1.3247269252103593
475,-129.99542160741356
476,-0.9079720443181284
477,-130.34059190840424
478,-524.8696208991036
479,-131.19993700442853
480,-374.9559877062276
481,-422.0005970867955
482,-263.63398775848117
483,-129.80089696946646
484,-427.79829531690814
485,-130.82413915080872
486,-0.6622553638423018
487,-395.21749531262947
488,-127.16610952825313
489,-130.2654578384666
490,-1.2481495583222153
491,-124.32503731073778
492,-130.45636747143445
493,-360.5047819507594
494,-1.9124248160031838
495,-130.2395334430505
496,-132.74802155177355
497,-0.5028360134193891
498,-258.48018773048517
499,-1.0536944825837147
500,-403.27791445557216
501,-131.11389251213708
502,-127.86741743360953
503,-626.1059164029748
504,-125.5610006756727
505,-130.38367801276345
506,-130.04756075948293
507,-654.4899564708529
508,-386.29388699624496
509,-523.4785070130001
510,-257.78489821346875
511,-135.26696929356393
512,-127.25815305624072
513,-129.2742026941749
514,-389.7346567084152
515,-517.5091860977815
516,-780.9688459613943
517,-131.62869632802077
518,-0.9581537856457758
519,-126.16969186805728
520,-604.4919160398197
521,-427.18658155463766
522,-263.57808976891783
523,-262.73584879337625
524,-2.498804834202486
525,-458.7864612627546
526,-258.029636305521
527,-268.20861534807324
528,-127.7580811466652
529,-438.57871756774045
530,-128.9153512351465
531,-408.83043308309914
532,-560.4242985096797
533,-268.97010707135314
534,-129.4064851007289
535,-260.0455162069205
536,-381.3180868207908
537,-255.58268791197727
538,-1.2317956899522648
539,-257.39864802467184
540,-253.67995551861247
541,-264.2051892674316
542,-128.7938333489938
543,-263.15800123499986
544,-128.99480711150503
545,-381.0502414156686
546,-128.5114667528676
547,-124.85792252736361
548,-504.43498069748415
549,-475.5413818509008
550,-253.20517076731255
551,-389.67342379474496
552,-272.9832249676405
553,-261.27846510391987
554,-410.44235870619696
555,-1.9202656751289764
556,-0.6122125998526474
557,-128.99594415057473
558,-515.6765383756524
559,-125.76218081954735
560,-262.284058442411
561,-129.94433272894284
562,-386.81214794738804
563,-265.0032915325741
564,-127.77684808021165
565,-568.5159630838149
566,-132.13526126211937
567,-0.8409308682851212
568,-128.2864794103888
569,-126.74339898212696
570,-390.57949575049906
571,-256.75061584891796
572,-355.433818151274
573,-133.10181928713357
574,-128.9617371642468
575,-130.58075682101702
576,-511.81619310646494
577,-128.36196134078057
578,-130.22614954144336
579,-126.99088550299116
580,-260.7173303913741
581,-131.93716375269565
582,-130.23780475253236
583,-261.5515070278917
584,-125.99225721341054
585,-411.835471822381
586,-398.9113158363505
587,-126.93168072374245
588,-130.62632280071682
589,-128.11260329779486
590,-259.77907439500603
591,-250.77517449903135
592,-2.450110304820174
593,-408.6446551296984
594,-130.76673222968407
595,-126.65474851633732
596,-125.52718991804012
597,-375.8363335137078
598,-255.93492069320433
599,-386.49262376951253
600,-129.21863550578712
601,-259.8531662923941
602,-367.29956503162765
603,-389.02197953250203
604,-129.9505244264482
605,-429.0462031805175
606,-0.6550137625350504
607,-127.09965931589697
608,-130.16294975334478
609,-127.38023852236536
610,-259.73394941595035
